song,lyrics
innuendo,  One  two  three  four    While the sun hangs in the sky  and the desert has sand  While the waves crash in the sea and meet the land  While there's a wind and the stars  and the rainbow  'Til the mountains crumble into the plain    Oh  yes  we'll keep on trying  Tread that fine line  Oh  we'll keep on trying. Yeah  Just passing our time    While we live according to race  color or creed  While we rule by blind madness and pure greed  Our lives dictated by tradition  superstition  false religion  Through the eons  and on and on    Oh  yes  we'll keep on trying  We'll tread that fine line  Oh  we'll keep on trying  'Til the end of time  'Til the end of time    Through the sorrow  all through our splendor  Don't take offense at my innuendo    You can be anything you want to be  Just turn yourself into anything you think that you could ever be    Be free with your tempo  be free  be free  Surrender your ego. Be free  be free to yourself    Ooh  ooh    If there's a god or any kind of justice under the sky  If there's a point  if there's a reason to live or die  If there's an answer to the questions we feel bound to ask  Show yourself  destroy our fears  release your mask    Oh  yes  we'll keep on trying  Hey! Tread that fine line  Yeah  we'll keep on smiling. Yeah!  And whatever will be  will be    We'll just keep on trying  We'll just keep on trying  'Til the end of time  'Til the end of time  'Til the end of time            
imgoingslightlymad,  When the outside temperature rises   And the meaning is  oh  so clear   One thousand and one yellow daffodils  Begin to dance in front of you. Oh  dear.    Are they trying to tell you something?  You're missing that one final screw.  You're simply not in the pink  my dear.  To be honest  you haven't got a clue.    I'm going slightly mad.  I'm going slightly mad.  It finally happened  happened.  It finally happened. Oh  oh.  It finally happened.  I'm slightly mad.    Oh  dear!    I'm one card short of a full deck.  I'm not quite the shilling.  One wave short of a shipwreck.  I'm not my usual top-billing.    I'm coming down with a fever.  I'm really out to sea.  This kettle is boiling over.  I think I'm a banana tree.    Oh  dear.    I'm going slightly mad.  I'm going slightly mad.  It finally happened  happened.  Finally happened. Uh  huh.  It finally happened.  I'm slightly mad.    Oh  dear!    I'm knitting with only one needle.  Unraveling fast. It's true.  I'm driving only three wheels these days   But  my dear  how about you?    I'm going slightly mad.  I'm going slightly mad.  It finally happened.  It finally happened.  Oh  yes.  It finally happened.  I'm slightly mad!  Just very slightly mad!  And there you have it!            
headlong,  And you're rushing headlong  You've got a new goal  And you're rushing headlong  Out of control  And you think you're so strong  But there ain't no stopping  And there's nothin' you can do about it    There's nothin' you can do  No  there's nothin' you can do about it  No  there's nothin' you canxe2x80x94  nothin' you canxe2x80x94  nothin' you can do about it    And you're rushing headlong  You've got a new goal  And you're rushing headlong  Out of control  And you think you're so strong  But there ain't no stopping  No  there's nothin' you can do about it    Yeah    Hey  he used to be a man  With a stick in his hand  Hoop diddy diddy  hoop diddy do  She used to be a woman  With a hot dog stand  Hoop diddy diddy  hoop diddy do    Now you've got soup in the laundry bag  Now you've got strings  you're gonna lose your rag  You're gettin' in a fight then it ain't so groovy  When you're screaming in the night  Let me out of this cheap 'B' movie    Headlong  Down the highway  And you're rushing headlong  Out of control  And you think you're so strong  But there ain't no stopping  And you can't stop rockin'  And there's nothin' you canxe2x80x94  nothin' you canxe2x80x94  nothin' you can do about it    When a red hot man meets a white hot lady  Hoop diddy diddy  hoop diddy do (ho)  Soon the fire starts a raging  Gets 'em more than half crazy  Hoop diddy diddy  hoop diddy do    Oh  now they start freaking every way you turn  You can't start walking 'cause your feet got burned  It ain't no time to figure wrong from right  'Cause reason's out the window  Better hold on tight    You're rushin' headlong  Headlong  Out of control  yeah  You think you're so strong  There ain't no stopping  And there's nothing youxe2x80x94  nothing youxe2x80x94  nothing you can do about it at all    Yeah  yeah! Alright! Go!    And you're rushing headlong  Down the highway  And you're rushing headlong  Out of control  And you think you're so strong  But there ain't no stopping  There's nothing  nothing  nothing you can do about it  yeah    Ooh  ooh  ooh  ooh  ooh  Ha-ha    Headlong  Headlong  Rushing  rushing  rushing  rushing  Yeah  yeah  yeah  Rushing  rushing  rushing  rushing  Headlong  Headlong  Headlong    <i>[In reverse:]</i>  Headlong  headlong  headlong  headlong            
icantlivewithyou,  I can't live with you  But I can't live without you -  I can't let you stay  But I can't live if you go away  I don't know just how it goes  All I know is I can't live with you  I'm having a hard time  I'm walking a fine line  Between hope and despair  You may think that I don't care -  But I traveled a long road to  Get a hold of my sorrow  I tried to catch a dream  But nothing's what it seems  Love is saying baby it's all right  When deep inside you're really petrified  Lover turns to hater  On this escalator  I can't live with you  But I can't live without you  I can't breathe - if you stay  But I can't bear you to go away  I don't know what time it is  All I know is I can't live with you  We're stuck in a bad place  We're trapped in a rat race  And we can't escape  Maybe there's been some mistake  We're trying to make a high score  We're walking through a closed door  And nobody's winning -  We're just sinning against ourselves  Hold on baby tell me it's all right  Anger's breaking from the hurt inside  Passions screaming hotter  Doin' what we gotta do - yeah  I can't live with you  I can't live with you  I can't live  I can't live  I can't  I can't live with you  But baby I'll never ever leave you  I can't live with you  But I can't live without you -  Cause I'm in love with you  And everything about you  I can't live with you  No I just can't live  I just can't live   I can't live with you   And I can't live without you  Through the madness  through the tears  We've still got each other  For a million years            
donttrysohard,  If you're searching out for something -  Don't try so hard  If you're feeling kinda nothing -  Don't try so hard  When your problems seem like mountains  You feel the need to find some answers  You can leave them for another day  Don't try so hard  But if you fall and take a tumble -  It won't be far  If you fail you mustn't grumble -  Thank your lucky stars  Just savour every mouthful  And treasure every moment  When the storms are raging round you  Stay right where you are  Don't try so hard  Oooh don't take it all to heart  It's only fools they make these rules  Don't try so hard  One day you'll be a sergeant major  Oh you'll be so proud  Screaming out your bloody orders  Hey but not too loud  Polish all your shiny buttons  Dressed as lamb instead of mutton  But you never had to try  To stand out from the crowd  Oh what a beautiful world  Is this the life for me  Oh what a beautiful world  It's the simple life for me  Oh don't try so hard  Oh don't take it all to heart  It's only fools - they make these rules  Don't try so hard  Don't try so hard            
ridethewildwind,  Ride the wild wind  (Push the envelope don't sit on the fence)  Ride the wild wind  (Live life on the razors edge)  Gonna ride the whirlwind  It ain't dangerous - enough for me  Get your head down baby - we're gonna ride tonight  Your angel eyes are shining bright  I wanna take your hand - lead you from this place  Gonna leave it all behind  Check out of this rat race -  Ride the wild wind  Ride the wild wind  Gonna ride the whirlwind -  It ain't dangerous - enough for me  Tie your hair back baby -  We're gonna ride tonight  We got freaks to the left - we got jerks to the right  Sometimes I get so low - I just have to ride  Let me take your hand  Let me be your guide  Ride the wild wind  (Don't sit on the fence)  Ride the wild wind  (Live life on the razors edge)  Gonna ride the whirlwind  It ain't dangerous - enough for me  Ride the wild wind            
allgodspeople,  So all you people give freely  Make welcome inside your homes  Thank God you people give freely  Don't turn your back on the lesson of the Lord  All prime ministers and majesty around the world  Open your eyes look  touch and feel  Rule with your heart  live with your conscience  Love  love   Love  love and be free  We're all God's people  Gotta face up  Better grow up  Gotta stand tall and be strong  Gotta face up  Better grow up  Gotta stand tall and be strong  Gotta face up  We're all God's people  Yeah - yes there was this magic light  I said to myself  I'd better go to bed and have an early night  Then I  then I  then I went into a dream  Rule with your heart and live with your conscience  We're all God's people give freely  Make welcome inside your homes  Let us be thankful  he's so incredible  We're all God's people  We're all God's people  We're all God's people  We're all God's people            
thesearethedaysofourlives,  Sometimes I get to feeling  I was back in the old days long ago.  When we were kids  when we were young  Things seemed so perfect. You know?    The days were endless  we were crazy  we were young.  The sun was always shining. We just lived for fun.    Sometimes it seems like lately.  I just don't know.  The rest of my life's been just a show.    Those were the days of our lives.  The bad things in life were so few.  Those days are all gone now   But one thing is true  When I look and I find I still love you.    You can't turn back the clock   You can't turn back the tide.  Ain't that a shame?  I'd like to go back one time on a roller-coaster ride  When life was just a game.    No use sitting and thinking on what you did  When you can lay back and enjoy it through your kids.    Sometimes it seems like lately.  I just don't know  Better sit back and go with the flow    'Cause these are the days of our lives.  They've flown in the swiftness of time.  These days are all gone now   But some things remain  When I look and I find no change.    Those were the days of our lives.  The bad things in life were so few.  Those days are all gone now   But one thing's still true  When I look and I find I still love you.    I still love you.            
delilah,  Delilah  Delilah  oh my  oh my  oh my - you're irresistible  You make me smile when I'm just about to cry  You bring me hope  you make me laugh and I like it  You get away with murder  so innocent  But when you throw a moody you're all claws and you bite  That's alright!  Delilah  Delilah  oh my  oh my  oh my - you're unpredictable  You make me so very happy  When you cuddle up and go to sleep beside me  And then you make me slightly mad  When you pee all over my Chippendale Suite  Delilah  Delilah  Hey - Hey - Hey  You take over my house and home  You even try to answer my telephone  Delilah  you're the apple of my eyes  Meeow  Meeow  Meeow  Delilah - I love you  Oh you make me so very happy - you give me kisses  And I go out of my mind ooh  Meeow  Meeow  Meeow  Meeow  You're irresistible - I love you Delilah  Delilah - I love you  Oooh - I love your kisses  Oooh - I love your kisses            
thehitman,  I'm the hitman  Stand aside  I'm the hitman  I want your life  Ain't no escaping  Don't run and hide  There goes the neighbourhood  I'm gonna kill for your love  Hitman  Now don't you cry  I'm just it man  And you might get fried  Gun in my pocket  Don't get me wrong  I'll be your hitman - a fool for your love  I'm the head shredder -  That's better -  Baby baby baby  I'm a hitman - hitman - hitman  Yeah - trouble in the East  troubled in the West  Struggle with the beast - what a thief  what a pest  Come back mother / Nuke that sucker  Yeah - yeah - yeah  I'm the hitman - that's the way to do it  I'm your prize  But this hitman -  Can cut you down to size  Love me (baby)  Don't be so cool  Love me love me baby  I've been to the hitman school  Yeah - yeah  You're gonna make my day  Gonna blow you away  Now the fun begins  Hitman  Are you ready for the sting  Gonna waste that thing  Hitman is king            
bijou,  You and me are destined  You'll agree  To spend the rest of our lives with each other  The rest of our days like two lovers  For ever - yeah - for ever  My bijou...            
theshowmustgoon,  Empty spaces.  What are we living for?  Abandoned places.  I guess we know the score.    On and on.  Does anybody know what we are looking for?    Another hero   Another mindless crime  Behind the curtain  In the pantomime.    Hold the line.  Does anybody want to take it anymore?    Show must go on.  Show must go on.  Inside my heart is breaking.  My make-up may be flaking.  But my smile still stays on.    Whatever happens   I'll leave it all to chance.  Another heartache   Another failed romance.    On and on.  Does anybody know what we are living for?    I guess I'm learning.  I must be warmer now.  I'll soon be turning  'Round the corner now.    Outside the dawn is breaking   But inside in the dark I'm aching to be free.    Show must go on.  Show must go on.  Inside my heart is breaking.  My make-up may be flaking   But my smile still stays on.    My soul is painted like the wings of butterflies.  Fairytales of yesterday will grow but never die.  I can fly  my friends.    Show must go on.  Show must go on.  I'll face it with a grin.  I'm never giving inxe2x80x94  Ohxe2x80x94with the show.    I'll top the bill   I'll overkill.  I have to find the will to carry on with the show.  On with the show.    Show must go on.            
itsabeautifulday,  It's a beautiful day  The sun is shining  I feel good  And no-one's gonna stop me now  oh yeah    It's a beautiful day  I feel good  I feel right  And no-one  no-one's gonna stop me now  Mama    Sometimes I feel so sad  so sad  so bad  But no-one's gonna stop me now  no-one  It's hopeless - so hopeless to even try            
madeinheaven,  I'm taking my ride with destiny  Willing to play my part  Living with painful memories  Loving with all my heart    Made in heaven  made in heaven  It was all meant to be  yeah  Made in heaven  made in heaven  That's what they say  Can't you see  Oh I know  I know  I know that it's true  Yes it's really meant to be  Deep in my heart    I'm having to learn to pay the price  They're turning me upside down  Waiting for possibilities  Don't see too many around    Made in heaven  made in heaven  It's for all to see  Made in heaven  made in heaven  That's what everybody says  Everybody says to me  It was really meant to be  Yeah  yeah  When stormy weather comes around  It was made in heaven  When sunny skies break through behind the clouds  I wish it could last forever  yeah  Wish it could last forever  forever    I'm playing my role in history  Looking to find my goal  Taking in all this misery  But giving in all my soul    Made in heaven  made in heaven  It was all meant to be  yeah  Made in heaven  made in heaven  That's what everybody says  Wait and see  it was really meant to be  So plain to see  Yeah  everybody  everybody  everybody tells me so  Yes it was plain to see  yes it was meant to be  Written in the stars...  Written in the stars...            
letmelive,  Why don't you take another little piece of my heart  Why don't you take it and break it  And tear it all apart  All I do is give  All you do is take  Baby why don't you give me  A brand new start    So let me live (so let me live)  Let me live (leave me alone)  Let me live  oh baby  And make a brand new start    Why don't you take another little piece of my soul  Why don't you shape it and shake it  'Til you're really in control  All you do is take  And all I do is give  All that I'm asking  Is a chance to live    (So let me live) - so let me live  (Leave me alone) - let me live  let me live  Why don't you let me make a brand new start    And it's a long hard struggle  But you can always depend on me  And if you're ever in trouble - hey  You know where I will be    Why don't you take another little piece of my life  Why don't you twist it  and turn it  And cut it like a knife  All you do is live  All I do is die  Why can't we just be friends  Stop living a lie    So let me live (so let me live)  Let me live (leave me alone)  Please let me live  (Why don't you live a little)  Oh yeah baby  (Why don't you give a little love...?)    Let me live  Please let me live  Oh yeah baby  let me live  And make a brand new start    Take a little piece of my heart now baby  Take a little piece of my heart now baby  Take a little piece of my soul now baby  Take a little piece of my life now baby  In your heart  oh baby  (Take another piece  take another piece)  Please let me live  (Take another piece  take another piece)  Why don't you take another piece  Take another little piece of my heart  Oh yeah baby  Make a brand new start  All you do is take  Let me live            
motherlove,  I don't want to sleep with you  I don't need the passion too  I don't want a stormy affair  To make me feel my life is heading somewhere    All I want is the comfort and care  Just to know that my woman gives me sweet mother love    I've walked too long in this lonely lane  I've had enough of this same old game  I'm a man of the world and they say that I'm strong  But my heart is heavy and my hope is gone    Out in the city  in the cold world outside  I don't want pity  just a safe place to hide  Mama  please  let me back inside    I don't want to make no waves  But you can give me all the love that I crave  I can't take if you see me cry  I long for peace before I die    All I want is to know that you're there  You're gonna give me all your sweet mother love    Mother love    My body's aching  but I can't sleep  My dreams are all the company I keep  Got such a feeling as the sun goes down  I'm coming home to my sweet mother love    Mother love            
mylifehasbeensaved,  This is where we are today  People going separate ways  This is the way things are now  In dissaray  I read it in the papers  There's death on every page  Oh Lord  I thank the Lord above  My life has been saved  Here we go  telling lies  Here we go  We're right back where we started from  People going separate ways  This is the way things are now  In dissaray  I read it in the papers  There's death on every page  Oh Lord  I thank you from above  My life has been saved    My life  my life has been saved  My life  my life  my life has been saved            
iwasborntoloveyou,  I was born to love you  With every single beat of my heart  Yes  I was born to take care of you  Every single day...    <i>[chorus:]</i>  I was born to love you  With every single beat of my heart  Yes  I was born to take care of you  Every single day of my life    You are the one for me  I am the man for you  You were made for me  You're my ecstasy  If I was given every opportunity  I'd kill for your love    So take a chance with me  Let me romance with you  I'm caught in a dream  And my dream's come true  It's so hard to believe  This is happening to me  An amazing feeling  Comin' through    <i>[chorus]</i>    I wanna love you  I love every little thing about you  I wanna love you  love you  love you  Born - to love you  Born - to love you  Yes I was born to love you  Born - to love you  Born - to love you  Every single day - of my life    An amazing feeling  Coming through    <i>[chorus]</i>    Yes I was born to love you  Every single day of my life    Go  I love you babe  Yes I was born to love you  I wanna love you  love you  love you  I wanna love you  I get so lonely  lonely  lonely  Yeah  I want to love you  Yeah  give it to me            
heavenforeveryone,  This could be heaven  This could be heaven  This could be heaven for everyone    In these days of cool reflection  You come to me and everything seems alright  In these days of cold affections  You sit by me and everything's fine    This could be heaven for everyone  This world could be fed  this world could be fun  This could be heaven for everyone  This world could be free  this world could be one    In this world of cool deception  Just your smile can smoth my ride  These troubled days of cruel rejection  hmm  You come to me  soothe my troubled mind    Yeah  this could be heaven for everyone  This world could be fed  this world could be fun  This should be love for everyone  yeah  This world should be free  this world could be one  We should bring love to our daughters and sons  Love  love  love  this could be heaven for everyone    You know that  This could be heaven for everyone  This could be heaven for everyone    Listen - what people do to other souls  They take their lives - destroy their goals  Their basic pride and dignity  Is stripped and torn and shown no pity  When this should be heaven for everyone            
toomuchlovewillkillyou,  I'm just the pieces of the man I used to be  Too many bitter tears are raining down on me  I'm far away from home  And I've been facing this alone  For much too long    I feel like no one ever told the truth to me  About growing up and what a struggle it would be  In my tangled state of mind  I've been looking back to find  Where I went wrong    Too much love will kill you  If you can't make up your mind  Torn between the lover and the love you leave behind  You're headed for disaster 'cos you never read the signs  Too much love will kill you every time    I'm just the shadow of the man I used to be  And it seems like there's no way out of this for me  I used to bring you sunshine  Now all I ever do is bring you down    How would it be if you were standing in my shoes  Can't you see that it's impossible to choose?  No  there's no making sense of it  Every way I go I'm bound to lose    Too much love will kill you  Just as sure as none at all.  It'll drain the power that's in you  Make you plead and scream and crawl  And the pain will make you crazy  You're the victim of your crime  Too much love will kill you every time    Too much love will kill you  It'll make your life a lie  Yes  too much love will kill you  And you won't understand why  You'd give your life  you'd sell your soul  But here it comes again  Too much love will kill you  In the end...  In the end.            
youdontfoolme,  You don't fool me  You don't fool me...  Da  da da da dah  Da da da dah  Da da dah...    You don't fool me - those pretty eyes  That sexy smile - you don't fool me  You don't rule me - you're no surprize  You're telling lies - you don't fool me  Mmm  mama said be careful of that girl  Mama said you know that she's no good  Mama said be cool  don't you be no fool  Yup bup ba ba ba ba da da da dah!  You don't fool me  You don't fool me  you don't fool me  She'll take you  You don't fool me  and break you  You don't rule me  you don't fool me  You don't fool me  she'll take you  You don't fool me  and break you  Sooner or later you'll be playing by her rules    Baby you don't fool me  yeah  You don't fool me  you don't have to say 'don't mind'  You don't have to teach me things I know  Sooner or later you'll be playing by her rules  Oh  (fool you) oh  (rule you) she'll take you (take you)  And break you (break you)  Yeah    Mama said be cool  Mama said she'll take you for a fool  She'll take you  and break you  Ba ba ba ba bap bap ba baah  La la la la la lah  You don't fool me  You don't fool me...            
awinterstale,  It's winter-fall  Red skies are gleaming  Sea-gulls are flying over  Swans are floatin' by  Smoking chimney-tops    Am I dreaming?  Am I dreaming?    The nights draw in  There's a silky moon up in the sky  Children are fantasising  Grown-ups are standin' by  What a super feeling    Am I dreaming?  Am I dreaming?    (Dreaming)  So quiet and peaceful  Tranquil and blissful  There's a kind of magic in the air  What a truly magnificent view  A breathtaking scene    With the dreams of the world  In the palm of your hand    (Dreaming)  A cosy fireside chat  A little this  a little that  Sound of merry laughter skippin' by  Gentle rain beatin' on my face  What an extraordinary place!    And the dream of the child  Is the hope of thexe2x80x94hope of the man    It's all so beautiful  Like a landscape painting in the sky  Mountains are zoomin' higher  Little girls scream and cry    My world is spinnin' and spinnin' and spinnin'  It's unbelievable  Sends me reeling    Am I dreaming?  Am I dreaming?  Ooh  it's bliss.            
itsabeautifuldayreprise,  It's a beautiful day  The sun is shining  I feel good  And no-one's gonna stop me now  oh yeah    It's a beautiful day  I fell good  I fell right  And no-one  no-one's gonna stop me now  Mama    Sometimes I fell so sad  so sad  so bad  But no-one's gonna stop me now  no-one  It's hopeless - so hopeless to even try            
cosmosrockin,  What planet is this  mmmh?    Let there be rock'n'roll       It's a Saturday night and I'm home alone    With the music on quiet I'm flying solo    Then my feet start moving to the sound of the beat    Put the music up loud hear it in the street    Then the neighbours start banging on my front door    Throw the door wide open saying what's your point    Come on in let's rock this joint       We got the whole house rocking    We got the whole house rocking    We got the whole house rocking    We got the whole house rocking    We got the whole house rocking    To the mighty power of rock 'n' roll       We dance out of the door  dance into the street    And all the people are swaying to the musical beat    We rock down the road and down to the town    And all the people stare and smile and get down    Then the police man is saying &quot;stop this noise&quot;   But the beat takes over now he's one of the boys    The beat's taken over now he's one of the boys       Come on down let's rock this town       We got the whole town rocking    We got the whole town rocking    We got the whole town rocking    We got the whole town rocking    We got the whole town rocking    To the mighty power of rock 'n' roll       Let's go    Let it roll    Are you ready?    Said are you ready?    The Cosmos Rocks       Across seven seas through the Panama     Now they're rockin' on beaches and they're rockin' in bars    Don't ask me how and don't ask me why    From Miami Beach down to old Bondi    There's a rock 'n' roll fever in every place    Next thing you know they'll be rockin' out in space       Come on down let's rock this place    Come on down and    Sock it to me       We got the whole world rocking    We got the whole world rocking    We got the whole world rocking    We got the whole world rocking    We got the whole world rocking    To the mighty mighty mighty power       We got the cosmos rocking    We got the cosmos rocking    We got the universe rocking    We got the cosmos rocking    We got the cosmos rocking    To the might power of rock 'n' roll            
timetoshine,  With the sun in your eyes and the wind in your face   To heaven you rise in a holy embrace   Your feet on the round your head in the clouds   And you're wondering if you're never coming down      In an istant the mysteries of life will unfold   The myths and the dragons of time will explode   Here's to a real understanding of truth   For compassion and grace to be given their chance too      Raise up your mind   It's time to shine      A moment down through millennium   Unveiling the secrets of song to be sung   Waters of life flowing soft to the touch   Wisdom remembered have we forgotten oh so much      Raise up your mind   It's time to shine   Raise up your mind   Hey  it's time to shine      Let's awaken from barbarity   Into a world of serenity   Beyond the rage of foolish pride   And on to the golden shores of paradise      Raise up your mind   Hey  it's time to shine   Raise up your mind   Hey  it's time to shine   Raise up your mind   Your time to shine   It's time to shine   It's time to shine:            
stillburnin,  I can't wake in the mornin'   I can't sleep at night   I got a pain in my memory   That just won't sit right   You might say I'm losing my mind   What a shame  shame  shame   But I don't want and I don't need   To play the cryin' game      Music lights this flame in me   I won't let it go and it won't let me be   I'm just a happy slave and oh I can't leave it   'Cause I'm still  and I always will - be a believer      Still burnin' (yeah)   Still yearnin' (and the wheel's)   Still turnin' (ooh let me tell you why)   We're jivin' (and the beat's)   Still drivin' (and we are all)   Sky divin' (rock 'n' roll never die)      I can't breathe in the city   Got dust in my lungs   I get mad in the country   Everythin' seem to go wrong   You might think I'm playin' around   But my heart is true   I got reason to believe   That sweet soul magic   Gonna tear my heart in two      Music makes the world go round   I've been flyin' on the wings of the sound   It feels so good from way up here   I'm still a believer   Headin' for the stars      Oh yeah   Still burnin'  still yearnin'      Still burnin'   Still yearnin'   Still turnin' (better than every guy)   We're jivin'   Still drivin'   Sky divin' (rock 'n' roll never die)      Don't say that you love me I can't go that road   But don't think for a moment that my heart went cold   I keep thinkin' about what I lost   And what I might have found   I went to sleep and when I woke   Everything had turned around      Still burnin' (yeah)   Still yearnin'   Still turnin' (a new day dawnin')   We're jivin'   Still drivin'   Sky divin' (early in the morning)      Still burnin' (yeah)   Still yearnin' (and the wheel's)   Still turnin' (better than every guy)   We're jivin' (and the beat's)   Still drivin' (and we're all)   Sky divin' (rock 'n' roll never die)            
small,  I like to sit here in the sunshine   The trees in the fields are green sublime   Suspended in time   And don't it make you feel small?      I like to sit here by the fire's light   The trees in the fields lie bare to the night   The stars burn bright   And don't it make you feel small?      Everyone needs a place they can hide   Hide away find a space to be alone   Everyone needs a place they can hide   Everyone needs to find peace sublime      I like to sit here in the Autumn time   The trees in the fields they rustle in the wind   The church bells gently chime   Gentle on your mind   Suspendend in time   And don't it make you feel small?      Everyone needs a place they can hide   Everyone needs to find peace sublime   Oh peace of mind      Everyone needs a place they can hide   Hide away find a space to be alone      Everyone needs a place they can hide   Hide away find a space to be alone      Everyone needs a place they can hide   Hide away find a space to be alone   Everyone needs a place they can hide      Everyone needs to find - peace sublime   Oh peace of mind            
warboys,  They were born with the knowledge of the struggle to survive    They were raised  learning only ways to stay alive    Their language is the language of the bullet and the gun    If you can see them coming  baby better run       Here come the warboys    Here come the warboys       Well they look so pretty as they march and drill    It's such  a pity that they're dressed to kill    Soldiers marching two by two    When it all comes down they know exactly what to do       Here come the... war       Warboys  warboys  children and their toys    Warboys  warboys  make lot a noise    Warboys  when the lightning exlpodes    I pray for your soul       Hup...2...3...4       Well they look so fierce they're gonna tear out your heart    When they get near we're gonna see what they got    Hold on to your soul  friend of mine    I'll see you in hell  some other time       Here come the boys       Helping to kill  those who deserve to die    Tell me who decides    You and I    We have the power            
webelieve,  I believe there's no evil out there we didn't have a hand in    You believe it's a time for peace and a time for understanding    Some of us believe that we are chosen    And if God is on our side we'll win the game    And some of us believe that there's a heaven    When the trumpets sound and the judges call your name    But let's get it straight:       I believe there's just once chance in this world to hear our brothers    You believe there's a better way to listen to each other    We don't get what the other guy is saying    We hear the words but we don't understand    So around the world the same old anger raging    And we all cry for shame and the same old tragedy goes down       We believe there's a better way to fight    There's a way to make our children safe at night    We believe there's a war we could be winning    But the only way to win it is to give what we need to receive       I believe we need a hero to step boldly from the shadows    You believe there must be someone on the scene that fits the bill    A man or a woman who knows how to say I'm sorry    With courage in his heart to match his creed    A leader who can build a brand new morning    And match the tide of changes    Match the intent with the deed       We believe there's a deed of obligation    To bring reconciliation    To make peace with every nation - in our time    We believe there's not a minute we should be wasting    When the darkness falls it's too late to fix the crime    It's peace that we need       Every father every mother knows the meaning    Human treasure that our leaders do forget    And the bullets fly in the face of common reason    And the pain we give is the legacy in the end we get       We believe there's a song that's worth the singing    It's a song of truth we're bringing    There's a way to share the Earth with everyone    We believe every creature has a being    Has a right to respect and feeling    To live and breathe and flourish in the sun       That's what we believe            
callme,  Call me if you need my love (my love  babe)   Call me if you need my love   Call me if you need my love   Call me if you need my love   Call me if you need my love   Call me if you need my love      She lives in a luxury   Apartment in the heart of town   I live in the country and   My house is tumbling down (ooh ooh)      Call me if you need my love   Call me if you need my love   Call me if you need my love   Call me if you need my love      I met her in her neighbourhood   I was just passing through   One look was all I took  yeah   One look or two (ooh ooh)      Call me if you need my love   Call me if you need my love   Call me if you need my love   Call me if you need my love      You got my name  you got my number   You got my number  you got my name   Yeah  yeah  yeah      (Have mercy)      Now I'm gonna settle down   Get myself a wife or two   No more of this running around   Like I used to do      Call me if you need my love  babe   Call me if you need my love   Call me if you need my love (oh  babe)   Call me if you need my love   Call me if you need my love (oh  babe)   Call me if you need my love   Call me if you need my love (oh  babe)   Call me if you need my love            
voodoo,  When the moons rises   The dogs will howl   Look out of your window   I'll be on the prowl   I'm not usually   A gambling man   But oh I just wanna   Hold up my hands      And say I'm   Taking a chance on you love   Woah I'm taking a chance on you love      I'm not superstitious   And I don't wear no charm   I don't carry my heart on the sleeve of my arm   Seven years of bad luck   Please don't worry me   'Cause when I look in the mirror   Here's the future I see      I'm taking a chance on you love   Woah  I'm taking a chance on you love      Place your bets  Better yet   Don't forget  What I said   Roll the dice  Spin the wheel   Always remember  You've got to keep it real      Don't believe in voodoo   Black magic was never my style   But I believe you do   And it won't take much time   To gather the portions   That weave your magic spell   The moon on the ocean   Has a secret to tell      But anyway I'm   Taking a chance on you love   Woah I'm taking a chance on you love   Woah I'm taking a chance on you love            
somethingsthatglitter,  Once I loved a butterfly   Don't wonder how  don't ask me why   But I believed what I'd been told   'All things that glitter can't be gold'      Ooooo ooo yeah   All things that glitter can't be gold      Those jealous minds conspired to say   Just let that creature fly away   How can it be she has it all   Her pride is headed for a fall      Ooooo ooo yeah   All things that glitter can't be gold      Oh Lord  what races we run   Seeking our place in the Sun   Reaching and doping we'll find the right one      Now every day a new joy brings   My butterfly grew golden wings   It seems we find as we grow old   Some things that glitter may be gold      Ooooo ooo yeah   Some things that glitter may be gold       So let us mind what's there to see   Before our hearts become too cold   In spite of all that we've been told   Some things that glitter may be gold      Ooooo ooo yeah   Some things that glitter may be gold      Ooooo ooo yeah   Some things that glitter      May be gold            
clebrity,  Oh yeah   Ain't got no hope  got no idea   What to do or why I'm here   I wanna get my face on your T.V.   I wanna be heard   I want to be seen      I ain't got nothing  no  nothing   Nothing to show   (Make me a celebrity!)      I want to be   A face on T.V.   (I wanna be on your screen)   Then you can see   I'm a C-lebrity      I wanna get my features in magazines   See this creature on every street on every screen   Write my life story before I'm twenty-one   I've gotta tell the world   They may say I'm dumb - but er      Ain't got nothing  no nothing   Nothing to show   (Make me a celebrity!)      I want to be   A face on T.V.   (I wanna be on your screen)   Then you can see   I'm a C-lebrity   (Yeah!)      I want to be a star in a Broadway musical   They're gonna love me  I can't sing or dance at all   Some may say I'm lackadaisical and if I was real good   I'd stand no chance at all - but I      I want to be   A face on T.V.   (yeah  I wanna be on your screen)   Then you can see   I'm a C-lebrity   (Then you can say)   Then you can say   You knew me one day   (And then you will see)   Then you will see   I'm a C-lebrity   (Oh oh oh)      C  c-lebrity   Wanna be a c-c-c-lebrity   (Make my dream come true)   C  c-lebrity   Wanna be a c-c-c-c-lebrity   I want to be heard   I want to be seen on every T.V. screen   Yeh            
